Rijlabels,Aantal van spotto_tag
spotto_account,7
spotto_activatie_cib,43
spotto_activatie_klant,31
spotto_bezoekaanvraag,16
spotto_broker_profile,16
spotto_commercieel,12
spotto_data_wijziging,23
spotto_factuur_auto,26
spotto_factuur_manueel,5
spotto_foto,4
spotto_partner_api,6
spotto_partner_apimo,6
spotto_partner_omnicasa,12
spotto_partner_realsmart,5
spotto_partner_skarabee,5
spotto_partner_sweepbright,1
spotto_partner_whise,20
spotto_partner_zabun,17
spotto_publicatie,15
spotto_spam,7
spotto_technisch,15
spotto_verbetering,1
spotto_vraag,17
Eindtotaal,310
