tuincategorie,listing_season,total_listings,median_days,p25_days,p75_days
"1. Geen tuin (<300 m2, geen tuinsignaal)",Spring,3407,96,35,200
"1. Geen tuin (<300 m2, geen tuinsignaal)",Summer,2793,76,31,170
"1. Geen tuin (<300 m2, geen tuinsignaal)",Autumn,2803,92,40,165
"1. Geen tuin (<300 m2, geen tuinsignaal)",Winter,2356,85,36,185
"2. Tuin op klein perceel (<300 m2, wel tuinsignaal)",Spring,3960,74,32,169
"2. Tuin op klein perceel (<300 m2, wel tuinsignaal)",Summer,3088,83,34,173
"2. Tuin op klein perceel (<300 m2, wel tuinsignaal)",Autumn,3392,71,31,147
"2. Tuin op klein perceel (<300 m2, wel tuinsignaal)",Winter,2492,79,34,167
3. Kleine tuin (300-600 m2),Spring,6165,80,32,175
3. Kleine tuin (300-600 m2),Summer,4807,83,32,171
3. Kleine tuin (300-600 m2),Autumn,4913,85,34,165
3. Kleine tuin (300-600 m2),Winter,3944,84,36,183
4. Grote tuin (>=600 m2),Spring,9718,81,32,178
4. Grote tuin (>=600 m2),Summer,7363,89,34,182
4. Grote tuin (>=600 m2),Autumn,7321,91,37,172
4. Grote tuin (>=600 m2),Winter,5672,95,40,186
