listing_year,tuincategorie,total_listings,median_price,avg_price,median_price_per_m2
2023,0. Onbekend perceel,1795,325000,372792,2161
2023,"1. Geen tuin (<300 m2, geen tuinsignaal)",4128,279000,308385,1886
2023,"2. Tuin op klein perceel (<300 m2, wel tuinsignaal)",4487,309000,333409,2070
2023,3. Kleine tuin (300-600 m2),7038,349500,381648,2056
2023,4. Grote tuin (>=600 m2),10414,437500,524020,2128
2023,ALLE HUIZEN (Vlaams benchmark),27862,351013,415669,2066
2024,0. Onbekend perceel,1461,350000,412315,2283
2024,"1. Geen tuin (<300 m2, geen tuinsignaal)",3220,298000,330236,2051
2024,"2. Tuin op klein perceel (<300 m2, wel tuinsignaal)",4081,323750,345631,2130
2024,3. Kleine tuin (300-600 m2),5931,369000,391311,2088
2024,4. Grote tuin (>=600 m2),8676,440000,516834,2181
2024,ALLE HUIZEN (Vlaams benchmark),23369,369000,422833,2134
2025,0. Onbekend perceel,1422,359000,409874,2300
2025,"1. Geen tuin (<300 m2, geen tuinsignaal)",3669,315000,340498,2110
2025,"2. Tuin op klein perceel (<300 m2, wel tuinsignaal)",3791,329000,350819,2165
2025,3. Kleine tuin (300-600 m2),5897,375000,399380,2125
2025,4. Grote tuin (>=600 m2),8909,449000,522071,2205
2025,ALLE HUIZEN (Vlaams benchmark),23688,377000,429262,2169
