tuincategorie,listing_year,total_listings,pct_ab,pct_cd,pct_ef,pct_epc_known
"1. Geen tuin (<300 m2, geen tuinsignaal)",2023,4128,24.6,41.3,34.1,83.4
"1. Geen tuin (<300 m2, geen tuinsignaal)",2024,3220,27.5,41.7,30.8,88.7
"1. Geen tuin (<300 m2, geen tuinsignaal)",2025,3669,31.1,41.7,27.2,91.9
"2. Tuin op klein perceel (<300 m2, wel tuinsignaal)",2023,4487,30.2,41.4,28.5,88.5
"2. Tuin op klein perceel (<300 m2, wel tuinsignaal)",2024,4081,33.0,40.6,26.5,90.6
"2. Tuin op klein perceel (<300 m2, wel tuinsignaal)",2025,3791,37.2,40.4,22.4,94.9
3. Kleine tuin (300-600 m2),2023,7038,29.7,36.0,34.3,80.1
3. Kleine tuin (300-600 m2),2024,5931,31.7,37.1,31.2,84.9
3. Kleine tuin (300-600 m2),2025,5897,34.8,36.8,28.3,89.9
4. Grote tuin (>=600 m2),2023,10414,21.5,39.3,39.1,89.7
4. Grote tuin (>=600 m2),2024,8676,23.4,40.3,36.3,93.2
4. Grote tuin (>=600 m2),2025,8909,24.6,40.7,34.8,96.1
