location_type,tuincategorie,total_listings,median_days,p25_days,p75_days
Centrumstad,"1. Geen tuin (<300 m2, geen tuinsignaal)",4027,83,34,173
Centrumstad,"2. Tuin op klein perceel (<300 m2, wel tuinsignaal)",4542,66,28,145
Centrumstad,3. Kleine tuin (300-600 m2),2663,67,29,148
Centrumstad,4. Grote tuin (>=600 m2),2803,81,31,171
Heel Vlaanderen,"1. Geen tuin (<300 m2, geen tuinsignaal)",11359,88,34,179
Heel Vlaanderen,"2. Tuin op klein perceel (<300 m2, wel tuinsignaal)",12932,77,32,164
Heel Vlaanderen,3. Kleine tuin (300-600 m2),19829,83,32,172
Heel Vlaanderen,4. Grote tuin (>=600 m2),30074,89,35,178
Rest van Vlaanderen,"1. Geen tuin (<300 m2, geen tuinsignaal)",7332,91,33,181
Rest van Vlaanderen,"2. Tuin op klein perceel (<300 m2, wel tuinsignaal)",8390,83,34,172
Rest van Vlaanderen,3. Kleine tuin (300-600 m2),17166,85,33,176
Rest van Vlaanderen,4. Grote tuin (>=600 m2),27271,89,36,179
