location_type,tuincategorie,listing_year,total_listings,median_price,median_price_per_m2
Centrumstad,"1. Geen tuin (<300 m2, geen tuinsignaal)",2023,1476,299000,2102
Centrumstad,"1. Geen tuin (<300 m2, geen tuinsignaal)",2024,1152,329000,2271
Centrumstad,"1. Geen tuin (<300 m2, geen tuinsignaal)",2025,1304,329000,2274
Centrumstad,"2. Tuin op klein perceel (<300 m2, wel tuinsignaal)",2023,1569,339000,2171
Centrumstad,"2. Tuin op klein perceel (<300 m2, wel tuinsignaal)",2024,1351,349000,2255
Centrumstad,"2. Tuin op klein perceel (<300 m2, wel tuinsignaal)",2025,1438,359000,2297
Centrumstad,3. Kleine tuin (300-600 m2),2023,870,387500,2153
Centrumstad,3. Kleine tuin (300-600 m2),2024,837,385500,2164
Centrumstad,3. Kleine tuin (300-600 m2),2025,837,399000,2231
Centrumstad,4. Grote tuin (>=600 m2),2023,975,489000,2256
Centrumstad,4. Grote tuin (>=600 m2),2024,812,480000,2275
Centrumstad,4. Grote tuin (>=600 m2),2025,826,475000,2272
Heel Vlaanderen,"1. Geen tuin (<300 m2, geen tuinsignaal)",2023,4128,279000,1886
Heel Vlaanderen,"1. Geen tuin (<300 m2, geen tuinsignaal)",2024,3220,298000,2051
Heel Vlaanderen,"1. Geen tuin (<300 m2, geen tuinsignaal)",2025,3669,315000,2110
Heel Vlaanderen,"2. Tuin op klein perceel (<300 m2, wel tuinsignaal)",2023,4487,309000,2070
Heel Vlaanderen,"2. Tuin op klein perceel (<300 m2, wel tuinsignaal)",2024,4081,323750,2130
Heel Vlaanderen,"2. Tuin op klein perceel (<300 m2, wel tuinsignaal)",2025,3791,329000,2165
Heel Vlaanderen,3. Kleine tuin (300-600 m2),2023,7038,349500,2056
Heel Vlaanderen,3. Kleine tuin (300-600 m2),2024,5931,369000,2088
Heel Vlaanderen,3. Kleine tuin (300-600 m2),2025,5897,375000,2125
Heel Vlaanderen,4. Grote tuin (>=600 m2),2023,10414,437500,2128
Heel Vlaanderen,4. Grote tuin (>=600 m2),2024,8676,440000,2181
Heel Vlaanderen,4. Grote tuin (>=600 m2),2025,8909,449000,2205
Rest van Vlaanderen,"1. Geen tuin (<300 m2, geen tuinsignaal)",2023,2652,265000,1792
Rest van Vlaanderen,"1. Geen tuin (<300 m2, geen tuinsignaal)",2024,2068,285000,1946
Rest van Vlaanderen,"1. Geen tuin (<300 m2, geen tuinsignaal)",2025,2365,300000,2030
Rest van Vlaanderen,"2. Tuin op klein perceel (<300 m2, wel tuinsignaal)",2023,2918,295000,2000
Rest van Vlaanderen,"2. Tuin op klein perceel (<300 m2, wel tuinsignaal)",2024,2730,309000,2060
Rest van Vlaanderen,"2. Tuin op klein perceel (<300 m2, wel tuinsignaal)",2025,2353,314000,2100
Rest van Vlaanderen,3. Kleine tuin (300-600 m2),2023,6168,349000,2044
Rest van Vlaanderen,3. Kleine tuin (300-600 m2),2024,5094,365000,2079
Rest van Vlaanderen,3. Kleine tuin (300-600 m2),2025,5060,375000,2110
Rest van Vlaanderen,4. Grote tuin (>=600 m2),2023,9439,430000,2115
Rest van Vlaanderen,4. Grote tuin (>=600 m2),2024,7864,437000,2171
Rest van Vlaanderen,4. Grote tuin (>=600 m2),2025,8083,448000,2197
