pand_type,bouwtype,regio,listing_season,total_listings,median_days,p25_days,p75_days
Appartement,Bestaand,Binnenland,Totaal,30110,98,42,196
Appartement,Bestaand,Binnenland,Spring,9595,105,40,213
Appartement,Bestaand,Binnenland,Summer,6727,98,41,192
Appartement,Bestaand,Binnenland,Autumn,7654,95,43,175
Appartement,Bestaand,Binnenland,Winter,6134,98,43,207
Appartement,Bestaand,Kust,Totaal,9750,118,46,238
Appartement,Bestaand,Kust,Spring,3268,121,41,251
Appartement,Bestaand,Kust,Summer,2323,118,50,239
Appartement,Bestaand,Kust,Autumn,1990,119,50,217
Appartement,Bestaand,Kust,Winter,2169,114,44,240
Appartement,Nieuwbouw,Binnenland,Totaal,4052,146,48,292
Appartement,Nieuwbouw,Binnenland,Spring,1236,144,31,296
Appartement,Nieuwbouw,Binnenland,Summer,759,211,94,334
Appartement,Nieuwbouw,Binnenland,Autumn,915,123,39,283
Appartement,Nieuwbouw,Binnenland,Winter,1142,123,49,275
Appartement,Nieuwbouw,Kust,Totaal,973,161,40,348
Appartement,Nieuwbouw,Kust,Spring,358,195,35,343
Appartement,Nieuwbouw,Kust,Summer,129,159,34,320
Appartement,Nieuwbouw,Kust,Autumn,205,142,41,268
Appartement,Nieuwbouw,Kust,Winter,281,148,41,375
Huis,Bestaand,Binnenland,Totaal,71875,83,33,170
Huis,Bestaand,Binnenland,Spring,22481,81,32,175
Huis,Bestaand,Binnenland,Summer,17741,83,32,173
Huis,Bestaand,Binnenland,Autumn,17902,84,35,163
Huis,Bestaand,Binnenland,Winter,13751,83,36,173
Huis,Bestaand,Kust,Totaal,3155,95,36,199
Huis,Bestaand,Kust,Spring,1011,86,32,196
Huis,Bestaand,Kust,Summer,758,99,44,215
Huis,Bestaand,Kust,Autumn,647,103,42,191
Huis,Bestaand,Kust,Winter,739,91,32,199
Huis,Nieuwbouw,Binnenland,Totaal,3703,149,56,288
Huis,Nieuwbouw,Binnenland,Spring,1159,161,46,308
Huis,Nieuwbouw,Binnenland,Summer,680,151,61,260
Huis,Nieuwbouw,Binnenland,Autumn,998,119,53,208
Huis,Nieuwbouw,Binnenland,Winter,866,206,76,335
Huis,Nieuwbouw,Kust,Totaal,186,160,55,343
Huis,Nieuwbouw,Kust,Spring,76,125,41,237
Huis,Nieuwbouw,Kust,Summer,35,299,82,481
Huis,Nieuwbouw,Kust,Autumn,25,122,58,372
Huis,Nieuwbouw,Kust,Winter,50,295,88,381
