listing_year,listing_season,garden_group,total_listings,median_days,avg_days,p25_days,p75_days
2023,Spring,No Garden,1402,146,189.9,60,270
2023,Spring,Wide Garden,5894,96,140.9,39,194
2023,Summer,No Garden,756,134,171.4,60,235
2023,Summer,Wide Garden,4018,95,138.5,39,191
2023,Autumn,No Garden,799,122,164.2,56,226
2023,Autumn,Wide Garden,4016,97,136.7,40,186
2023,Winter,No Garden,664,130,195.8,54,312
2023,Winter,Wide Garden,2876,104,158,43,225
2024,Spring,No Garden,597,128,158.7,50,215
2024,Spring,Wide Garden,4345,82,127.3,32,176
2024,Summer,No Garden,460,121,171.8,55,254
2024,Summer,Wide Garden,3690,90,132,35,187
2024,Autumn,No Garden,423,133,160.7,57,202
2024,Autumn,Wide Garden,3693,88,121,32,174
2024,Winter,No Garden,467,126,163,42,230
2024,Winter,Wide Garden,2844,86,130,36,176
2025,Spring,No Garden,545,69,101.4,32,146
2025,Spring,Wide Garden,4157,52,94.9,32,140
2025,Summer,No Garden,347,115,124,41,175
2025,Summer,Wide Garden,3091,70,97.2,30,153
2025,Autumn,No Garden,394,78,92.7,34,143
2025,Autumn,Wide Garden,3467,63,81.3,29,125
2025,Winter,No Garden,293,89,133.8,41,195
2025,Winter,Wide Garden,2624,71,101.9,30,144
