listing_year,listing_season,garden_group,total_listings,pct_sold_60d,pct_sold_90d,pct_sold_120d
2023,Spring,No Garden,1467,23.9,32.7,41.5
2023,Spring,Wide Garden,6068,35.0,46.7,56.6
2023,Summer,No Garden,783,24.4,35.2,45.6
2023,Summer,Wide Garden,4100,35.8,47.5,56.8
2023,Autumn,No Garden,829,25.6,37.9,48.0
2023,Autumn,Wide Garden,4090,35.1,46.5,56.5
2023,Winter,No Garden,725,25.2,37.0,44.4
2023,Winter,Wide Garden,3007,33.6,43.9,51.7
2024,Spring,No Garden,624,28.7,38.0,45.7
2024,Spring,Wide Garden,4428,40.4,52.1,61.2
2024,Summer,No Garden,485,26.8,38.1,47.4
2024,Summer,Wide Garden,3768,37.3,49.1,58.2
2024,Autumn,No Garden,453,24.7,34.7,43.5
2024,Autumn,Wide Garden,3806,38.1,49.6,59.0
2024,Winter,No Garden,494,28.7,38.3,45.5
2024,Winter,Wide Garden,2942,38.4,49.9,58.7
2025,Spring,No Garden,605,41.8,51.7,62.0
2025,Spring,Wide Garden,4382,50.8,59.6,66.6
2025,Summer,No Garden,404,29.7,39.1,43.8
2025,Summer,Wide Garden,3418,40.7,52.7,61.4
2025,Autumn,No Garden,512,32.4,43.0,51.6
2025,Autumn,Wide Garden,4095,41.1,53.4,62.3
2025,Winter,No Garden,363,28.4,41.0,49.6
2025,Winter,Wide Garden,2924,40.2,52.3,61.5
